Reference Alignment,My Alignment
Unmatched:(8 Conference -> 20 Conference_volume: 1.0  =  ),,[],[10 Conference]
Unmatched:(20 Preference -> 48 Review_preference: 1.0  =  ),,[],[]
Unmatched:(3 Author -> 43 Regular_author: 1.0  =  ),,[28 User, 10 ConferenceMember],[14 Conference_contributor]
(19 Person -> 37 Person: 1.0  =  ),(19 Person -> 37 Person: 2.0  =  ),[],[]
Unmatched:(7 Co-author -> 23 Contribution_co-author: 1.0  =  ),,[3 Author],[43 Regular_author]
Unmatched:(17 PaperAbstract -> 0 Abstract: 1.0  =  ),,[16 Paper],[25 Extended_abstract]
Unmatched:(12 Document -> 15 Conference_document: 1.0  =  ),,[],[]
(25 Review -> 46 Review: 1.0  =  ),(25 Review -> 46 Review: 2.0  =  ),[12 Document],[15 Conference_document]
(8 Conference -> 10 Conference: 1.0  =  ),(8 Conference -> 10 Conference: 2.0  =  ),[],[]
(21 ProgramCommittee -> 40 Program_committee: 1.0  =  ),(21 ProgramCommittee -> 40 Program_committee: 1.5  =  ),[],[8 Committee]
Unmatched:(6 Chairman -> 6 Chair: 1.0  =  ),,[19 Person],[9 Committee_member]
Unmatched:(27 SubjectArea -> 53 Topic: 1.0  =  ),,[],[]
Unmatched:(15 email -> 26 has_an_email: 1.0  =  ),,Person,Person
Unmatched:(10 assignedByReviewer -> 41 invited_by: 1.0  =  ),,ExternalReviewer,Reviewer
Unmatched:(7 assignExternalReviewer -> 42 invites_co-reviewers: 1.0  =  ),,Reviewer,Reviewer
False positives (16 Paper -> 35 Paper: 2.0  =  ),,[12 Document],[44 Regular_contribution]
False positives (23 ProgramCommitteeMember -> 9 Committee_member: 0.800000011920929  =  ),,[10 ConferenceMember],[37 Person]
False positives (26 Reviewer -> 50 Reviewer: 2.0  =  ),,[28 User, 10 ConferenceMember],[37 Person]
